X,Y,Conductivity 16 kHz,TIME
-109.2981633,-27.0882833,2425.943,27:33.8
-109.298165,-27.0882816,2417.215,27:34.3
-109.298165,-27.0882816,2409.791,27:34.8
-109.298165,-27.0882816,2405.712,27:35.3
-109.298165,-27.0882816,2405.753,27:35.8
-109.298165,-27.0882816,2409.199,27:36.3
-109.298165,-27.0882816,2413.101,27:36.8
-109.298165,-27.0882816,2414.012,27:37.3
-109.298165,-27.08828,2412.258,27:37.8
-109.298165,-27.08828,2409.416,27:38.3
-109.298165,-27.08828,2408.422,27:38.8
-109.298165,-27.08828,2410.063,27:39.3
-109.298165,-27.08828,2415.21,27:39.8
-109.298165,-27.08828,2424.08,27:40.3
-109.298165,-27.08828,2434.708,27:40.8
-109.298165,-27.08828,2444.527,27:41.2
-109.298165,-27.08828,2450.276,27:41.8
-109.298165,-27.0882783,2450.692,27:42.3
-109.298165,-27.0882783,2445.589,27:42.8
-109.2981633,-27.0882783,2436.065,27:43.3
-109.2981633,-27.0882783,2426.772,27:43.8
-109.2981633,-27.0882783,2417.913,27:44.3
-109.2981633,-27.0882783,2414.393,27:44.8
-109.2981633,-27.0882783,2410.996,27:45.3
-109.2981633,-27.0882783,2410.366,27:45.8
-109.2981633,-27.0882783,2406.788,27:46.3
-109.2981633,-27.0882783,2403.086,27:46.8
-109.2981633,-27.0882783,2397.778,27:47.3
-109.2981633,-27.0882783,2393.921,27:47.8
-109.2981633,-27.0882783,2393.736,27:48.3
-109.2981633,-27.0882783,2396.031,27:48.8
-109.2981633,-27.0882783,2402.708,27:49.3
-109.2981633,-27.08828,2409.291,27:49.8
-109.2981633,-27.08828,2419.287,27:50.2
-109.2981616,-27.08828,2426.685,27:50.8
-109.2981616,-27.08828,2434.203,27:51.3
-109.2981616,-27.08828,2437.058,27:51.8
-109.2981616,-27.08828,2436.172,27:52.3
-109.2981616,-27.08828,2429.445,27:52.7
-109.2981616,-27.08828,2418.92,27:53.2
-109.2981616,-27.08828,2406.574,27:53.8
-109.2981616,-27.08828,2395.143,27:54.3
-109.2981616,-27.08828,2385.657,27:54.8
-109.2981616,-27.08828,2380.768,27:55.3
-109.2981616,-27.08828,2377.49,27:55.8
-109.2981616,-27.08828,2373.517,27:56.3
-109.29816,-27.08828,2366.077,27:56.7
-109.29816,-27.08828,2357.396,27:57.2
-109.29816,-27.08828,2351.615,27:57.8
-109.29816,-27.08828,2351.18,27:58.3
-109.29816,-27.0882816,2357.614,27:58.8
-109.29816,-27.0882816,2368.584,27:59.3
-109.29816,-27.0882816,2380.741,27:59.8
-109.29816,-27.0882816,2389.615,28:00.2
-109.29816,-27.0882816,2392.355,28:00.7
-109.29816,-27.0882816,2388.052,28:01.2
-109.29816,-27.0882816,2376.865,28:01.8
-109.29816,-27.0882816,2360.647,28:02.3
-109.29816,-27.0882816,2342.552,28:02.8
-109.29816,-27.0882816,2325.781,28:03.3
-109.2981583,-27.0882816,2315.211,28:03.8
-109.2981583,-27.0882816,2313.903,28:04.3
-109.2981583,-27.0882816,2323.307,28:04.8
-109.2981583,-27.0882816,2337.627,28:05.3
-109.2981583,-27.0882816,2348.938,28:05.8
-109.2981583,-27.0882816,2355.713,28:06.3
-109.29816,-27.0882816,2359.578,28:06.8
-109.29816,-27.0882816,2366.606,28:07.3
-109.29816,-27.0882816,2376.007,28:07.8
-109.29816,-27.0882816,2388.03,28:08.2
-109.29816,-27.0882816,2398.778,28:08.8
-109.29816,-27.0882816,2404.057,28:09.3
-109.29816,-27.0882816,2403.78,28:09.8
-109.29816,-27.0882816,2395.044,28:10.3
-109.29816,-27.0882816,2383.168,28:10.8
-109.29816,-27.0882816,2368.114,28:11.3
-109.29816,-27.0882816,2355.917,28:11.8
-109.2981583,-27.0882816,2344.458,28:12.3
